Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Quantity,Unit Price,Sales,Discount,Profit
ORD-1000,01/01/2023,07/01/2023,First Class,CUST-1000,Carol White,Home Office,Central,Furniture,Storage,Steel Cabinet,1,142.03,142.03,0.3,-14.2
ORD-1001,02/01/2023,08/01/2023,Same Day,CUST-1001,Carol White,Consumer,East,Technology,Tables,Mouse Pad,9,440.25,3962.25,0.1,396.22
ORD-1002,03/01/2023,08/01/2023,Standard Class,CUST-1002,John Doe,Home Office,South,Furniture,Binders,iPhone 13,8,107.75,862.0,0.2,0.0
ORD-1003,04/01/2023,09/01/2023,First Class,CUST-1003,Alice Johnson,Consumer,Central,Furniture,Binders,Steel Cabinet,8,153.65,1229.2,0.1,122.92
ORD-1004,05/01/2023,08/01/2023,First Class,CUST-1004,Jane Smith,Corporate,West,Technology,Binders,Steel Cabinet,6,82.21,493.26,0.1,49.33
ORD-1005,06/01/2023,11/01/2023,Same Day,CUST-1005,John Doe,Home Office,East,Technology,Accessories,Executive Chair,7,344.53,2411.71,0.0,482.34
ORD-1006,07/01/2023,11/01/2023,Standard Class,CUST-1006,Jane Smith,Consumer,East,Technology,Accessories,iPhone 13,6,473.11,2838.66,0.2,0.0
ORD-1007,08/01/2023,14/01/2023,Standard Class,CUST-1007,Jane Smith,Consumer,Central,Furniture,Chairs,Mouse Pad,9,149.1,1341.9,0.3,-134.19
ORD-1008,09/01/2023,11/01/2023,First Class,CUST-1008,Alice Johnson,Home Office,South,Furniture,Binders,iPhone 13,3,248.2,744.6,0.2,0.0
ORD-1009,10/01/2023,16/01/2023,Second Class,CUST-1009,Jane Smith,Corporate,Central,Technology,Storage,Steel Cabinet,3,324.48,973.44,0.1,97.34
ORD-1010,11/01/2023,12/01/2023,First Class,CUST-1010,Jane Smith,Corporate,South,Office Supplies,Tables,Mouse Pad,3,499.74,1499.22,0.3,-149.92
ORD-1011,12/01/2023,18/01/2023,First Class,CUST-1011,Alice Johnson,Corporate,South,Technology,Phones,Ring Binder,3,70.31,210.93,0.2,0.0
ORD-1012,13/01/2023,16/01/2023,First Class,CUST-1012,Jane Smith,Consumer,East,Office Supplies,Storage,Executive Chair,9,259.31,2333.79,0.1,233.38
ORD-1013,14/01/2023,19/01/2023,First Class,CUST-1013,Jane Smith,Consumer,Central,Office Supplies,Accessories,Steel Cabinet,4,204.86,819.44,0.1,81.94
ORD-1014,15/01/2023,20/01/2023,Same Day,CUST-1014,Jane Smith,Consumer,Central,Technology,Accessories,Conference Table,7,435.59,3049.13,0.0,609.83
ORD-1015,16/01/2023,22/01/2023,Standard Class,CUST-1015,John Doe,Consumer,South,Technology,Storage,Conference Table,9,248.46,2236.14,0.0,447.23
ORD-1016,17/01/2023,19/01/2023,Same Day,CUST-1016,John Doe,Corporate,Central,Technology,Accessories,Executive Chair,7,73.27,512.89,0.0,102.58
ORD-1017,18/01/2023,20/01/2023,Same Day,CUST-1017,John Doe,Home Office,West,Furniture,Binders,Ring Binder,9,324.52,2920.68,0.1,292.07
ORD-1018,19/01/2023,22/01/2023,Same Day,CUST-1018,Alice Johnson,Consumer,West,Office Supplies,Chairs,Steel Cabinet,3,389.97,1169.91,0.2,0.0
ORD-1019,20/01/2023,21/01/2023,First Class,CUST-1019,Carol White,Consumer,Central,Furniture,Tables,iPhone 13,4,21.38,85.52,0.0,17.1
ORD-1020,21/01/2023,27/01/2023,Second Class,CUST-1020,Jane Smith,Corporate,Central,Furniture,Chairs,Executive Chair,8,432.3,3458.4,0.2,0.0
ORD-1021,22/01/2023,27/01/2023,Standard Class,CUST-1021,Jane Smith,Home Office,South,Technology,Tables,Ring Binder,6,109.29,655.74,0.0,131.15
ORD-1022,23/01/2023,29/01/2023,Second Class,CUST-1022,Alice Johnson,Home Office,West,Furniture,Tables,iPhone 13,5,284.99,1424.95,0.3,-142.49
ORD-1023,24/01/2023,27/01/2023,Same Day,CUST-1023,Jane Smith,Corporate,West,Technology,Chairs,Conference Table,4,219.58,878.32,0.3,-87.83
ORD-1024,25/01/2023,29/01/2023,Same Day,CUST-1024,John Doe,Corporate,East,Office Supplies,Storage,Conference Table,8,365.43,2923.44,0.0,584.69
ORD-1025,26/01/2023,30/01/2023,Second Class,CUST-1025,Carol White,Home Office,South,Technology,Tables,iPhone 13,1,198.16,198.16,0.1,19.82
ORD-1026,27/01/2023,30/01/2023,Second Class,CUST-1026,Bob Lee,Consumer,East,Furniture,Chairs,Executive Chair,9,437.49,3937.41,0.0,787.48
ORD-1027,28/01/2023,02/02/2023,Second Class,CUST-1027,Jane Smith,Home Office,West,Furniture,Tables,Conference Table,1,370.64,370.64,0.0,74.13
ORD-1028,29/01/2023,01/02/2023,Same Day,CUST-1028,John Doe,Corporate,South,Technology,Phones,Steel Cabinet,8,330.9,2647.2,0.1,264.72
ORD-1029,30/01/2023,04/02/2023,Same Day,CUST-1029,Bob Lee,Consumer,Central,Technology,Storage,Mouse Pad,4,402.2,1608.8,0.3,-160.88
ORD-1030,31/01/2023,02/02/2023,Standard Class,CUST-1030,Carol White,Consumer,South,Furniture,Binders,iPhone 13,9,381.93,3437.37,0.2,0.0
ORD-1031,01/02/2023,04/02/2023,Standard Class,CUST-1031,Bob Lee,Corporate,Central,Office Supplies,Tables,iPhone 13,5,37.25,186.25,0.0,37.25
ORD-1032,02/02/2023,07/02/2023,Same Day,CUST-1032,John Doe,Corporate,Central,Office Supplies,Phones,Conference Table,3,209.47,628.41,0.1,62.84
ORD-1033,03/02/2023,06/02/2023,Second Class,CUST-1033,Bob Lee,Corporate,South,Technology,Binders,Executive Chair,9,466.79,4201.11,0.0,840.22
ORD-1034,04/02/2023,07/02/2023,Second Class,CUST-1034,Alice Johnson,Home Office,Central,Office Supplies,Binders,Steel Cabinet,9,80.35,723.15,0.1,72.32
ORD-1035,05/02/2023,10/02/2023,Standard Class,CUST-1035,Bob Lee,Home Office,East,Furniture,Tables,Executive Chair,4,373.81,1495.24,0.2,0.0
ORD-1036,06/02/2023,11/02/2023,Same Day,CUST-1036,Jane Smith,Consumer,West,Technology,Chairs,Ring Binder,4,487.8,1951.2,0.2,0.0
ORD-1037,07/02/2023,08/02/2023,Standard Class,CUST-1037,Jane Smith,Corporate,Central,Furniture,Tables,Ring Binder,8,45.06,360.48,0.3,-36.05
ORD-1038,08/02/2023,11/02/2023,Standard Class,CUST-1038,Alice Johnson,Consumer,East,Furniture,Phones,Mouse Pad,2,347.45,694.9,0.1,69.49
ORD-1039,09/02/2023,13/02/2023,First Class,CUST-1039,John Doe,Consumer,Central,Office Supplies,Binders,Conference Table,9,244.71,2202.39,0.1,220.24
ORD-1040,10/02/2023,13/02/2023,First Class,CUST-1040,Jane Smith,Consumer,West,Technology,Tables,Conference Table,6,298.0,1788.0,0.3,-178.8
ORD-1041,11/02/2023,14/02/2023,First Class,CUST-1041,Carol White,Consumer,East,Technology,Chairs,Conference Table,9,60.96,548.64,0.3,-54.86
ORD-1042,12/02/2023,17/02/2023,Second Class,CUST-1042,Jane Smith,Corporate,West,Office Supplies,Tables,Mouse Pad,8,40.64,325.12,0.1,32.51
ORD-1043,13/02/2023,16/02/2023,Same Day,CUST-1043,Jane Smith,Consumer,West,Furniture,Storage,Ring Binder,7,340.1,2380.7,0.3,-238.07
ORD-1044,14/02/2023,20/02/2023,Same Day,CUST-1044,John Doe,Corporate,East,Furniture,Chairs,Executive Chair,1,415.19,415.19,0.2,0.0
ORD-1045,15/02/2023,18/02/2023,Same Day,CUST-1045,Bob Lee,Corporate,East,Furniture,Phones,Mouse Pad,3,395.37,1186.11,0.0,237.22
ORD-1046,16/02/2023,22/02/2023,Same Day,CUST-1046,Jane Smith,Home Office,East,Furniture,Binders,Mouse Pad,2,281.03,562.06,0.2,0.0
ORD-1047,17/02/2023,21/02/2023,First Class,CUST-1047,Alice Johnson,Corporate,South,Technology,Tables,Executive Chair,5,67.94,339.7,0.3,-33.97
ORD-1048,18/02/2023,23/02/2023,Second Class,CUST-1048,Bob Lee,Home Office,East,Technology,Chairs,Conference Table,5,350.26,1751.3,0.1,175.13
ORD-1049,19/02/2023,22/02/2023,Second Class,CUST-1049,Carol White,Corporate,East,Office Supplies,Storage,Steel Cabinet,5,136.11,680.55,0.1,68.05
ORD-1050,20/02/2023,26/02/2023,First Class,CUST-1050,John Doe,Corporate,East,Office Supplies,Chairs,Executive Chair,4,457.31,1829.24,0.2,0.0
ORD-1051,21/02/2023,27/02/2023,Second Class,CUST-1051,Carol White,Corporate,East,Technology,Accessories,Ring Binder,5,422.37,2111.85,0.1,211.18
ORD-1052,22/02/2023,28/02/2023,First Class,CUST-1052,Bob Lee,Home Office,Central,Technology,Storage,iPhone 13,3,360.5,1081.5,0.3,-108.15
ORD-1053,23/02/2023,25/02/2023,Same Day,CUST-1053,Bob Lee,Home Office,South,Furniture,Phones,iPhone 13,1,475.45,475.45,0.2,0.0
ORD-1054,24/02/2023,25/02/2023,First Class,CUST-1054,Bob Lee,Consumer,West,Furniture,Binders,Mouse Pad,5,35.08,175.4,0.1,17.54
ORD-1055,25/02/2023,01/03/2023,Same Day,CUST-1055,Carol White,Home Office,East,Office Supplies,Phones,iPhone 13,9,373.38,3360.42,0.0,672.08
ORD-1056,26/02/2023,01/03/2023,Same Day,CUST-1056,Bob Lee,Home Office,Central,Technology,Tables,Steel Cabinet,9,178.52,1606.68,0.0,321.34
ORD-1057,27/02/2023,01/03/2023,Standard Class,CUST-1057,Carol White,Home Office,Central,Office Supplies,Chairs,Conference Table,4,454.91,1819.64,0.3,-181.96
ORD-1058,28/02/2023,03/03/2023,First Class,CUST-1058,Bob Lee,Home Office,Central,Technology,Accessories,Ring Binder,3,148.0,444.0,0.1,44.4
ORD-1059,01/03/2023,04/03/2023,Standard Class,CUST-1059,Alice Johnson,Consumer,West,Furniture,Storage,Steel Cabinet,1,367.93,367.93,0.3,-36.79
ORD-1060,02/03/2023,07/03/2023,First Class,CUST-1060,Bob Lee,Home Office,East,Office Supplies,Storage,Ring Binder,2,441.27,882.54,0.2,0.0
ORD-1061,03/03/2023,08/03/2023,First Class,CUST-1061,Carol White,Corporate,South,Office Supplies,Chairs,Ring Binder,8,40.0,320.0,0.0,64.0
ORD-1062,04/03/2023,09/03/2023,Standard Class,CUST-1062,Jane Smith,Corporate,South,Technology,Accessories,Conference Table,1,210.87,210.87,0.2,0.0
ORD-1063,05/03/2023,07/03/2023,Standard Class,CUST-1063,Bob Lee,Home Office,Central,Furniture,Chairs,Mouse Pad,8,385.91,3087.28,0.1,308.73
ORD-1064,06/03/2023,09/03/2023,First Class,CUST-1064,Jane Smith,Home Office,West,Office Supplies,Tables,iPhone 13,7,238.36,1668.52,0.3,-166.85
ORD-1065,07/03/2023,08/03/2023,Second Class,CUST-1065,Alice Johnson,Corporate,West,Furniture,Phones,Conference Table,8,148.28,1186.24,0.3,-118.62
ORD-1066,08/03/2023,12/03/2023,Same Day,CUST-1066,John Doe,Corporate,West,Office Supplies,Storage,Steel Cabinet,6,125.51,753.06,0.3,-75.31
ORD-1067,09/03/2023,14/03/2023,Standard Class,CUST-1067,Alice Johnson,Consumer,South,Furniture,Tables,Mouse Pad,9,83.13,748.17,0.2,0.0
ORD-1068,10/03/2023,15/03/2023,Same Day,CUST-1068,Bob Lee,Corporate,Central,Technology,Phones,Steel Cabinet,3,431.42,1294.26,0.0,258.85
ORD-1069,11/03/2023,14/03/2023,Second Class,CUST-1069,Jane Smith,Corporate,East,Office Supplies,Tables,Mouse Pad,4,296.17,1184.68,0.2,0.0
ORD-1070,12/03/2023,15/03/2023,Second Class,CUST-1070,Jane Smith,Home Office,South,Office Supplies,Accessories,Steel Cabinet,6,56.66,339.96,0.2,0.0
ORD-1071,13/03/2023,15/03/2023,Second Class,CUST-1071,Carol White,Corporate,Central,Furniture,Storage,Conference Table,8,203.64,1629.12,0.1,162.91
ORD-1072,14/03/2023,16/03/2023,Standard Class,CUST-1072,Jane Smith,Consumer,Central,Furniture,Chairs,Mouse Pad,5,196.51,982.55,0.1,98.26
